id,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,gross,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
43,127,70,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1990,7,16,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,26,3,0
44,124,49,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,6,18,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,28,2,0
45,113,69,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,12,18,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,3,37,2,0
46,111,62,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1984,3,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,10,25,4,0
47,94,71,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997,11,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,21,1,0
48,136,69,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2001,12,18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,46,5,0
49,127,64,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,12,18,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,9,29,0,0
50,97,71,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009,12,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,5,34,4,0
51,130,46,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,11,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,37,1,0
53,98,61,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2004,4,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,35,1,0
54,107,64,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,6,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,12,26,3,0
55,104,73,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,6,16,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,13,21,3,0
56,107,68,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,8,16,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,5,28,1,0
57,93,72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004,5,18,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,10,12,22,1,1
58,104,72,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,19,3,0
59,107,71,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,23,1,0
60,97,69,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,11,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,6,33,2,0
61,114,59,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,11,17,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,23,1,0
62,100,58,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,12,33,2,0
63,140,74,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,4,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,10,4,28,6,0
64,74,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1950,3,14,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,8,60,7,0
65,120,79,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,1,16,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,10,3,22,0,0
66,97,61,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,8,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,28,0,0
67,133,74,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2007,10,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,41,0,0
68,96,63,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,4,17,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,10,10,31,3,0
69,104,53,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,3,37,1,0
70,102,48,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2005,6,18,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,5,56,7,0
71,113,70,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,10,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,21,2,0
72,90,58,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1987,2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,17,30,3,0
73,114,52,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,12,16,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,13,41,2,1
