gross,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
18,74,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1950,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,8,60,7,0
18,120,79,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,10,3,22,0,0
18,97,61,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,28,0,0
17,133,74,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2007,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,41,0,0
16,96,63,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,4,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,10,10,31,3,0
16,104,53,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,3,37,1,0
17,102,48,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2005,6,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,5,56,7,0
17,90,58,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1987,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,17,30,3,0
17,114,52,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,12,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,13,41,2,1
17,113,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,11,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,3,31,3,0
17,99,68,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,14,2,0
17,75,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1959,7,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,10,35,2,0
17,86,56,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,14,46,4,1
14,118,41,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,7,28,1,0
10,118,62,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,11,35,0,0
18,123,64,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1996,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,9,49,2,0
17,99,65,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,7,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,9,25,1,0
17,100,54,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2011,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,18,55,4,0
16,105,43,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,34,0,0
10,90,62,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,20,0,0
18,125,67,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,12,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,12,41,0,0
17,107,57,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,21,0,0
16,103,54,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,27,1,0
17,95,67,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2005,9,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,11,32,3,0
18,99,61,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,12,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,18,48,7,1
16,89,51,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1989,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,22,2,0
18,114,67,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,10,31,2,1
18,101,48,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,7,48,5,1
17,86,67,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003,7,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,10,5,28,1,0
18,180,82,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,27,0,0
14,132,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,25,2,0
18,141,81,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,12,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,10,43,0,0
17,123,69,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,39,2,0
17,124,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,29,1,0
18,157,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,11,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,50,1,0
11,92,71,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,41,1,0
